Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-08-11,Burnley,Man City,,,
2023-08-12,Arsenal,Nottingham Forest FC,,,
2023-08-12,Bournemouth,West Ham,,,
2023-08-12,Brighton,Luton Town FC,,,
2023-08-12,Everton,Fulham,,,
2023-08-12,Sheffield United,Crystal Palace,,,
2023-08-12,Newcastle,Aston Villa,,,
2023-08-13,Brentford,Tottenham,,,
2023-08-13,Chelsea,Liverpool,,,
2023-08-14,Man United,Wolves,,,
2023-08-19,Aston Villa,Everton,,,
2023-08-19,Crystal Palace,Arsenal,,,
2023-08-19,Fulham,Brentford,,,
2023-08-19,Liverpool,Bournemouth,,,
2023-08-19,Luton Town FC,Burnley,,,
2023-08-19,Man City,Newcastle,,,
2023-08-19,Nottingham Forest FC,Sheffield United,,,
2023-08-19,Tottenham,Man United,,,
2023-08-19,West Ham,Chelsea,,,
2023-08-19,Wolves,Brighton,,,
2023-08-26,Chelsea,Luton Town FC,,,
2023-08-26,Everton,Wolves,,,
2023-08-26,Man United,Nottingham Forest FC,,,
2023-08-26,Newcastle,Liverpool,,,
2023-08-26,Sheffield United,Man City,,,
2023-08-26,Bournemouth,Tottenham,,,
2023-08-26,Arsenal,Fulham,,,
2023-08-26,Brentford,Crystal Palace,,,
2023-08-26,Brighton,West Ham,,,
2023-08-26,Burnley,Aston Villa,,,
2023-09-02,Arsenal,Man United,,,
2023-09-02,Brentford,Bournemouth,,,
2023-09-02,Brighton,Newcastle,,,
2023-09-02,Burnley,Tottenham,,,
2023-09-02,Chelsea,Nottingham Forest FC,,,
2023-09-02,Crystal Palace,Wolves,,,
2023-09-02,Liverpool,Aston Villa,,,
2023-09-02,Luton Town FC,West Ham,,,
2023-09-02,Man City,Fulham,,,
2023-09-02,Sheffield United,Everton,,,
2023-09-16,Bournemouth,Chelsea,,,
2023-09-16,Aston Villa,Crystal Palace,,,
2023-09-16,Everton,Arsenal,,,
2023-09-16,Fulham,Luton Town FC,,,
2023-09-16,Man United,Brighton,,,
2023-09-16,Newcastle,Brentford,,,
2023-09-16,Nottingham Forest FC,Burnley,,,
2023-09-16,Tottenham,Sheffield United,,,
2023-09-16,West Ham,Man City,,,
2023-09-16,Wolves,Liverpool,,,
2023-09-23,Arsenal,Tottenham,,,
2023-09-23,Brentford,Everton,,,
2023-09-23,Brighton,Bournemouth,,,
2023-09-23,Burnley,Man United,,,
2023-09-23,Chelsea,Aston Villa,,,
2023-09-23,Crystal Palace,Fulham,,,
2023-09-23,Liverpool,West Ham,,,
2023-09-23,Luton Town FC,Wolves,,,
2023-09-23,Man City,Nottingham Forest FC,,,
2023-09-23,Sheffield United,Newcastle,,,
2023-09-30,Bournemouth,Arsenal,,,
2023-09-30,Aston Villa,Brighton,,,
2023-09-30,Everton,Luton Town FC,,,
2023-09-30,Fulham,Chelsea,,,
2023-09-30,Man United,Crystal Palace,,,
2023-09-30,Newcastle,Burnley,,,
2023-09-30,Nottingham Forest FC,Brentford,,,
2023-09-30,Tottenham,Liverpool,,,
2023-09-30,West Ham,Sheffield United,,,
2023-09-30,Wolves,Man City,,,
2023-10-07,Arsenal,Man City,,,
2023-10-07,Brighton,Liverpool,,,
2023-10-07,Burnley,Chelsea,,,
2023-10-07,Crystal Palace,Nottingham Forest FC,,,
2023-10-07,Everton,Bournemouth,,,
2023-10-07,Fulham,Sheffield United,,,
2023-10-07,Luton Town FC,Tottenham,,,
2023-10-07,Man United,Brentford,,,
2023-10-07,West Ham,Newcastle,,,
2023-10-07,Wolves,Aston Villa,,,
2023-10-21,Bournemouth,Wolves,,,
2023-10-21,Aston Villa,West Ham,,,
