Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
05/08/2022,Crystal Palace,Arsenal,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Fulham,Liverpool,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Bournemouth,Aston Villa,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Leeds,Wolves,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Newcastle,Nott'm Forest,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Tottenham,Southampton,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2022,Everton,Chelsea,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2022,Leicester,Brentford,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2022,Man United,Brighton,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2022,West Ham,Man City,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Aston Villa,Everton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Arsenal,Leicester,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Brighton,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Man City,Bournemouth,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Southampton,Leeds,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Wolves,Fulham,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2022,Brentford,Man United,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2022,Nott'm Forest,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2022,Chelsea,Tottenham,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2022,Liverpool,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Tottenham,Wolves,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Crystal Palace,Aston Villa,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Everton,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Fulham,Brentford,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Leicester,Southampton,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2022,Bournemouth,Arsenal,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2022,Leeds,Chelsea,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2022,West Ham,Brighton,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2022,Newcastle,Man City,3,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2022,Man United,Liverpool,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Southampton,Man United,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Brentford,Everton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Brighton,Leeds,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Chelsea,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Liverpool,Bournemouth,9,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Man City,Crystal Palace,4,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2022,Arsenal,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2022,Aston Villa,West Ham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2022,Wolves,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2022,Nott'm Forest,Tottenham,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2022,Crystal Palace,Brentford,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2022,Fulham,Brighton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2022,Southampton,Chelsea,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2022,Leeds,Everton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2022,Arsenal,Aston Villa,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2022,Bournemouth,Wolves,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2022,Man City,Nott'm Forest,6,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2022,West Ham,Tottenham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/2022,Liverpool,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022,Leicester,Man United,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Everton,Liverpool,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Brentford,Leeds,5,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Chelsea,West Ham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Newcastle,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Nott'm Forest,Bournemouth,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Tottenham,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/09/2022,Wolves,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
