Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-08-11,Burnley,Man City,0.0,3.0,A
2023-08-12,Arsenal,Nottingham Forest FC,2.0,1.0,H
2023-08-12,Bournemouth,West Ham,1.0,1.0,D
2023-08-12,Brighton,Luton Town FC,4.0,1.0,H
2023-08-12,Everton,Fulham,0.0,1.0,A
2023-08-12,Sheffield United,Crystal Palace,0.0,1.0,A
2023-08-12,Newcastle,Aston Villa,5.0,1.0,H
2023-08-13,Brentford,Tottenham,2.0,2.0,D
2023-08-13,Chelsea,Liverpool,1.0,1.0,D
2023-08-14,Man United,Wolves,1.0,0.0,H
2023-08-18,Nottingham Forest FC,Sheffield United,2.0,1.0,H
2023-08-19,Fulham,Brentford,0.0,3.0,A
2023-08-19,Liverpool,Bournemouth,3.0,1.0,H
2023-08-19,Wolves,Brighton,1.0,4.0,A
2023-08-19,Tottenham,Man United,2.0,0.0,H
2023-08-19,Man City,Newcastle,1.0,0.0,H
2023-08-20,Aston Villa,Everton,4.0,0.0,H
2023-08-20,West Ham,Chelsea,3.0,1.0,H
2023-08-21,Crystal Palace,Arsenal,0.0,1.0,A
2023-08-25,Chelsea,Luton Town FC,3.0,0.0,H
2023-08-26,Bournemouth,Tottenham,0.0,2.0,A
2023-08-26,Everton,Wolves,0.0,1.0,A
2023-08-26,Man United,Nottingham Forest FC,3.0,2.0,H
2023-08-26,Arsenal,Fulham,2.0,2.0,D
2023-08-26,Brentford,Crystal Palace,1.0,1.0,D
2023-08-26,Brighton,West Ham,1.0,3.0,A
2023-08-27,Sheffield United,Man City,1.0,2.0,A
2023-08-27,Burnley,Aston Villa,1.0,3.0,A
2023-08-27,Newcastle,Liverpool,1.0,2.0,A
2023-09-01,Luton Town FC,West Ham,1.0,2.0,A
2023-09-02,Sheffield United,Everton,2.0,2.0,D
2023-09-02,Brentford,Bournemouth,2.0,2.0,D
2023-09-02,Burnley,Tottenham,2.0,5.0,A
2023-09-02,Chelsea,Nottingham Forest FC,0.0,1.0,A
2023-09-02,Man City,Fulham,5.0,1.0,H
2023-09-02,Brighton,Newcastle,3.0,1.0,H
2023-09-03,Crystal Palace,Wolves,3.0,2.0,H
2023-09-03,Liverpool,Aston Villa,3.0,0.0,H
2023-09-03,Arsenal,Man United,3.0,1.0,H
2023-09-16,Wolves,Liverpool,1.0,3.0,A
2023-09-16,Aston Villa,Crystal Palace,3.0,1.0,H
2023-09-16,Fulham,Luton Town FC,1.0,0.0,H
2023-09-16,Man United,Brighton,1.0,3.0,A
2023-09-16,Tottenham,Sheffield United,2.0,1.0,H
2023-09-16,West Ham,Man City,1.0,3.0,A
2023-09-16,Newcastle,Brentford,1.0,0.0,H
2023-09-17,Bournemouth,Chelsea,0.0,0.0,D
2023-09-17,Everton,Arsenal,0.0,1.0,A
2023-09-18,Nottingham Forest FC,Burnley,1.0,1.0,D
2023-09-23,Crystal Palace,Fulham,0.0,0.0,D
2023-09-23,Luton Town FC,Wolves,1.0,1.0,D
2023-09-23,Man City,Nottingham Forest FC,2.0,0.0,H
2023-09-23,Brentford,Everton,1.0,3.0,A
2023-09-23,Burnley,Man United,0.0,1.0,A
2023-09-24,Arsenal,Tottenham,2.0,2.0,D
2023-09-24,Brighton,Bournemouth,3.0,1.0,H
2023-09-24,Chelsea,Aston Villa,0.0,1.0,A
2023-09-24,Liverpool,West Ham,3.0,1.0,H
2023-09-24,Sheffield United,Newcastle,0.0,8.0,A
2023-09-30,Aston Villa,Brighton,6.0,1.0,H
2023-09-30,Bournemouth,Arsenal,0.0,4.0,A
2023-09-30,Everton,Luton Town FC,1.0,2.0,A
2023-09-30,Man United,Crystal Palace,0.0,1.0,A
2023-09-30,Newcastle,Burnley,2.0,0.0,H
2023-09-30,West Ham,Sheffield United,2.0,0.0,H
2023-09-30,Wolves,Man City,2.0,1.0,H
2023-09-30,Tottenham,Liverpool,2.0,1.0,H
2023-10-01,Nottingham Forest FC,Brentford,1.0,1.0,D
2023-10-02,Fulham,Chelsea,0.0,2.0,A
2023-10-03,Luton Town FC,Burnley,1.0,2.0,A
2023-10-07,Luton Town FC,Tottenham,0.0,1.0,A
2023-10-07,Burnley,Chelsea,1.0,4.0,A
2023-10-07,Everton,Bournemouth,3.0,0.0,H
2023-10-07,Fulham,Sheffield United,3.0,1.0,H
2023-10-07,Man United,Brentford,2.0,1.0,H
2023-10-07,Crystal Palace,Nottingham Forest FC,0.0,0.0,D
2023-10-08,Brighton,Liverpool,2.0,2.0,D
2023-10-08,West Ham,Newcastle,2.0,2.0,D
2023-10-08,Wolves,Aston Villa,1.0,1.0,D
2023-10-08,Arsenal,Man City,1.0,0.0,H
2023-10-21,Liverpool,Everton,2.0,0.0,H
2023-10-21,Bournemouth,Wolves,1.0,2.0,A
2023-10-21,Brentford,Burnley,3.0,0.0,H
2023-10-21,Man City,Brighton,2.0,1.0,H
2023-10-21,Newcastle,Crystal Palace,4.0,0.0,H
2023-10-21,Nottingham Forest FC,Luton Town FC,2.0,2.0,D
2023-10-21,Chelsea,Arsenal,2.0,2.0,D
2023-10-21,Sheffield United,Man United,1.0,2.0,A
2023-10-22,Aston Villa,West Ham,4.0,1.0,H
2023-10-23,Tottenham,Fulham,2.0,0.0,H
2023-10-27,Crystal Palace,Tottenham,1.0,2.0,A
2023-10-28,Chelsea,Brentford,0.0,2.0,A
2023-10-28,Bournemouth,Burnley,2.0,1.0,H
2023-10-28,Arsenal,Sheffield United,5.0,0.0,H
2023-10-28,Wolves,Newcastle,2.0,2.0,D
2023-10-29,West Ham,Everton,0.0,1.0,A
2023-10-29,Aston Villa,Luton Town FC,3.0,1.0,H
2023-10-29,Brighton,Fulham,1.0,1.0,D
2023-10-29,Liverpool,Nottingham Forest FC,3.0,0.0,H
2023-10-29,Man United,Man City,0.0,3.0,A
2023-11-04,Fulham,Man United,0.0,1.0,A
2023-11-04,Brentford,West Ham,3.0,2.0,H
2023-11-04,Burnley,Crystal Palace,0.0,2.0,A
2023-11-04,Everton,Brighton,1.0,1.0,D
2023-11-04,Man City,Bournemouth,6.0,1.0,H
2023-11-04,Sheffield United,Wolves,2.0,1.0,H
2023-11-04,Newcastle,Arsenal,1.0,0.0,H
2023-11-05,Nottingham Forest FC,Aston Villa,2.0,0.0,H
2023-11-05,Luton Town FC,Liverpool,1.0,1.0,D
2023-11-06,Tottenham,Chelsea,1.0,4.0,A
2023-11-11,Wolves,Tottenham,2.0,1.0,H
2023-11-11,Arsenal,Burnley,3.0,1.0,H
2023-11-11,Crystal Palace,Everton,2.0,3.0,A
2023-11-11,Man United,Luton Town FC,1.0,0.0,H
2023-11-11,Bournemouth,Newcastle,2.0,0.0,H
2023-11-12,Aston Villa,Fulham,3.0,1.0,H
2023-11-12,Brighton,Sheffield United,1.0,1.0,D
2023-11-12,Liverpool,Brentford,3.0,0.0,H
2023-11-12,West Ham,Nottingham Forest FC,3.0,2.0,H
2023-11-12,Chelsea,Man City,4.0,4.0,D
2023-11-25,Man City,Liverpool,,,
2023-11-25,Burnley,West Ham,,,
2023-11-25,Luton Town FC,Crystal Palace,,,
2023-11-25,Newcastle,Chelsea,,,
2023-11-25,Nottingham Forest FC,Brighton,,,
2023-11-25,Sheffield United,Bournemouth,,,
2023-11-25,Brentford,Arsenal,,,
2023-11-26,Tottenham,Aston Villa,,,
2023-11-26,Everton,Man United,,,
2023-11-27,Fulham,Wolves,,,
2023-12-02,Arsenal,Wolves,,,
2023-12-02,Brentford,Luton Town FC,,,
2023-12-02,Burnley,Sheffield United,,,
2023-12-02,Nottingham Forest FC,Everton,,,
2023-12-02,Newcastle,Man United,,,
2023-12-03,Bournemouth,Aston Villa,,,
2023-12-03,Chelsea,Brighton,,,
2023-12-03,Liverpool,Fulham,,,
2023-12-03,West Ham,Crystal Palace,,,
2023-12-03,Man City,Tottenham,,,
2023-12-05,Wolves,Burnley,,,
2023-12-05,Luton Town FC,Arsenal,,,
2023-12-06,Brighton,Brentford,,,
2023-12-06,Fulham,Nottingham Forest FC,,,
2023-12-06,Sheffield United,Liverpool,,,
2023-12-06,Crystal Palace,Bournemouth,,,
2023-12-06,Aston Villa,Man City,,,
2023-12-06,Man United,Chelsea,,,
2023-12-07,Everton,Newcastle,,,
2023-12-07,Tottenham,West Ham,,,
2023-12-09,Crystal Palace,Liverpool,,,
2023-12-09,Brighton,Burnley,,,
2023-12-09,Man United,Bournemouth,,,
2023-12-09,Sheffield United,Brentford,,,
2023-12-09,Wolves,Nottingham Forest FC,,,
2023-12-09,Aston Villa,Arsenal,,,
2023-12-10,Everton,Chelsea,,,
2023-12-10,Fulham,West Ham,,,
2023-12-10,Luton Town FC,Man City,,,
2023-12-10,Tottenham,Newcastle,,,
2023-12-15,Nottingham Forest FC,Tottenham,,,
2023-12-16,Bournemouth,Luton Town FC,,,
2023-12-16,Chelsea,Sheffield United,,,
2023-12-16,Man City,Crystal Palace,,,
2023-12-16,Newcastle,Fulham,,,
2023-12-16,Burnley,Everton,,,
2023-12-17,Arsenal,Brighton,,,
2023-12-17,Brentford,Aston Villa,,,
2023-12-17,West Ham,Wolves,,,
2023-12-17,Liverpool,Man United,,,
2023-12-21,Crystal Palace,Brighton,,,
2023-12-22,Aston Villa,Sheffield United,,,
2023-12-23,Man City,Brentford,,,
2023-12-23,West Ham,Man United,,,
2023-12-23,Fulham,Burnley,,,
2023-12-23,Luton Town FC,Newcastle,,,
2023-12-23,Nottingham Forest FC,Bournemouth,,,
2023-12-23,Tottenham,Everton,,,
2023-12-23,Liverpool,Arsenal,,,
2023-12-24,Wolves,Chelsea,,,
2023-12-26,Newcastle,Nottingham Forest FC,,,
2023-12-26,Bournemouth,Fulham,,,
2023-12-26,Sheffield United,Luton Town FC,,,
2023-12-26,Burnley,Liverpool,,,
2023-12-26,Man United,Aston Villa,,,
2023-12-27,Brentford,Wolves,,,
2023-12-27,Chelsea,Crystal Palace,,,
2023-12-27,Everton,Man City,,,
2023-12-28,Brighton,Tottenham,,,
2023-12-28,Arsenal,West Ham,,,
2023-12-30,Luton Town FC,Chelsea,,,
2023-12-30,Aston Villa,Burnley,,,
2023-12-30,Crystal Palace,Brentford,,,
2023-12-30,Man City,Sheffield United,,,
2023-12-30,Wolves,Everton,,,
2023-12-30,Nottingham Forest FC,Man United,,,
2023-12-31,Fulham,Arsenal,,,
2023-12-31,Tottenham,Bournemouth,,,
2024-01-01,Liverpool,Newcastle,,,
2024-01-02,West Ham,Brighton,,,
2024-01-13,Chelsea,Fulham,,,
2024-01-13,Newcastle,Man City,,,
2024-01-14,Everton,Aston Villa,,,
2024-01-14,Man United,Tottenham,,,
2024-01-15,Burnley,Luton Town FC,,,
2024-01-20,Arsenal,Crystal Palace,,,
2024-01-20,Brentford,Nottingham Forest FC,,,
2024-01-21,Sheffield United,West Ham,,,
2024-01-21,Bournemouth,Liverpool,,,
2024-01-22,Brighton,Wolves,,,
2024-01-30,Nottingham Forest FC,Arsenal,,,
2024-01-30,West Ham,Bournemouth,,,
2024-01-30,Luton Town FC,Brighton,,,
2024-01-30,Fulham,Everton,,,
2024-01-30,Aston Villa,Newcastle,,,
2024-01-30,Tottenham,Brentford,,,
2024-01-30,Wolves,Man United,,,
2024-01-30,Crystal Palace,Sheffield United,,,
2024-01-31,Man City,Burnley,,,
2024-01-31,Liverpool,Chelsea,,,
2024-02-03,Bournemouth,Nottingham Forest FC,,,
2024-02-03,Arsenal,Liverpool,,,
2024-02-03,Brentford,Man City,,,
2024-02-03,Brighton,Crystal Palace,,,
2024-02-03,Burnley,Fulham,,,
2024-02-03,Chelsea,Wolves,,,
2024-02-03,Everton,Tottenham,,,
2024-02-03,Man United,West Ham,,,
2024-02-03,Newcastle,Luton Town FC,,,
2024-02-03,Sheffield United,Aston Villa,,,
2024-02-10,Aston Villa,Man United,,,
2024-02-10,Crystal Palace,Chelsea,,,
2024-02-10,Fulham,Bournemouth,,,
2024-02-10,Liverpool,Burnley,,,
2024-02-10,Luton Town FC,Sheffield United,,,
2024-02-10,Man City,Everton,,,
2024-02-10,Nottingham Forest FC,Newcastle,,,
2024-02-10,Tottenham,Brighton,,,
2024-02-10,West Ham,Arsenal,,,
2024-02-10,Wolves,Brentford,,,
2024-02-17,Brentford,Liverpool,,,
2024-02-17,Burnley,Arsenal,,,
2024-02-17,Everton,Crystal Palace,,,
2024-02-17,Fulham,Aston Villa,,,
2024-02-17,Luton Town FC,Man United,,,
2024-02-17,Man City,Chelsea,,,
2024-02-17,Newcastle,Bournemouth,,,
2024-02-17,Nottingham Forest FC,West Ham,,,
2024-02-17,Sheffield United,Brighton,,,
2024-02-17,Tottenham,Wolves,,,
2024-02-24,Bournemouth,Man City,,,
2024-02-24,Arsenal,Newcastle,,,
2024-02-24,Aston Villa,Nottingham Forest FC,,,
2024-02-24,Brighton,Everton,,,
2024-02-24,Chelsea,Tottenham,,,
2024-02-24,Crystal Palace,Burnley,,,
2024-02-24,Liverpool,Luton Town FC,,,
2024-02-24,Man United,Fulham,,,
2024-02-24,West Ham,Brentford,,,
2024-02-24,Wolves,Sheffield United,,,
2024-03-02,Brentford,Chelsea,,,
2024-03-02,Burnley,Bournemouth,,,
2024-03-02,Everton,West Ham,,,
2024-03-02,Fulham,Brighton,,,
2024-03-02,Luton Town FC,Aston Villa,,,
2024-03-02,Man City,Man United,,,
2024-03-02,Newcastle,Wolves,,,
2024-03-02,Nottingham Forest FC,Liverpool,,,
2024-03-02,Sheffield United,Arsenal,,,
2024-03-02,Tottenham,Crystal Palace,,,
2024-03-09,Bournemouth,Sheffield United,,,
2024-03-09,Arsenal,Brentford,,,
2024-03-09,Aston Villa,Tottenham,,,
2024-03-09,Brighton,Nottingham Forest FC,,,
2024-03-09,Chelsea,Newcastle,,,
2024-03-09,Crystal Palace,Luton Town FC,,,
2024-03-09,Liverpool,Man City,,,
2024-03-09,Man United,Everton,,,
2024-03-09,West Ham,Burnley,,,
2024-03-09,Wolves,Fulham,,,
2024-03-16,Brighton,Man City,,,
2024-03-16,Burnley,Brentford,,,
2024-03-16,Crystal Palace,Newcastle,,,
2024-03-16,Everton,Liverpool,,,
2024-03-16,Fulham,Tottenham,,,
2024-03-16,Luton Town FC,Nottingham Forest FC,,,
2024-03-16,Man United,Sheffield United,,,
2024-03-16,West Ham,Aston Villa,,,
2024-03-16,Wolves,Bournemouth,,,
2024-03-16,Arsenal,Chelsea,,,
2024-03-30,Bournemouth,Everton,,,
2024-03-30,Aston Villa,Wolves,,,
2024-03-30,Brentford,Man United,,,
2024-03-30,Chelsea,Burnley,,,
2024-03-30,Liverpool,Brighton,,,
2024-03-30,Man City,Arsenal,,,
2024-03-30,Newcastle,West Ham,,,
2024-03-30,Nottingham Forest FC,Crystal Palace,,,
2024-03-30,Sheffield United,Fulham,,,
2024-03-30,Tottenham,Luton Town FC,,,
2024-04-02,Bournemouth,Crystal Palace,,,
2024-04-02,Arsenal,Luton Town FC,,,
2024-04-02,Brentford,Brighton,,,
2024-04-02,Burnley,Wolves,,,
2024-04-02,Nottingham Forest FC,Fulham,,,
2024-04-02,West Ham,Tottenham,,,
2024-04-03,Chelsea,Man United,,,
2024-04-03,Newcastle,Everton,,,
2024-04-03,Liverpool,Sheffield United,,,
2024-04-03,Man City,Aston Villa,,,
2024-04-06,Aston Villa,Brentford,,,
2024-04-06,Brighton,Arsenal,,,
2024-04-06,Crystal Palace,Man City,,,
2024-04-06,Everton,Burnley,,,
2024-04-06,Fulham,Newcastle,,,
2024-04-06,Luton Town FC,Bournemouth,,,
2024-04-06,Man United,Liverpool,,,
2024-04-06,Sheffield United,Chelsea,,,
2024-04-06,Tottenham,Nottingham Forest FC,,,
2024-04-06,Wolves,West Ham,,,
2024-04-13,Bournemouth,Man United,,,
2024-04-13,Arsenal,Aston Villa,,,
2024-04-13,Brentford,Sheffield United,,,
2024-04-13,Burnley,Brighton,,,
2024-04-13,Chelsea,Everton,,,
2024-04-13,Liverpool,Crystal Palace,,,
2024-04-13,Man City,Luton Town FC,,,
2024-04-13,Newcastle,Tottenham,,,
2024-04-13,Nottingham Forest FC,Wolves,,,
2024-04-13,West Ham,Fulham,,,
2024-04-20,Aston Villa,Bournemouth,,,
2024-04-20,Brighton,Chelsea,,,
2024-04-20,Crystal Palace,West Ham,,,
2024-04-20,Everton,Nottingham Forest FC,,,
2024-04-20,Fulham,Liverpool,,,
2024-04-20,Luton Town FC,Brentford,,,
2024-04-20,Man United,Newcastle,,,
2024-04-20,Sheffield United,Burnley,,,
2024-04-20,Tottenham,Man City,,,
2024-04-20,Wolves,Arsenal,,,
2024-04-27,Bournemouth,Brighton,,,
2024-04-27,Aston Villa,Chelsea,,,
2024-04-27,Everton,Brentford,,,
2024-04-27,Fulham,Crystal Palace,,,
2024-04-27,Man United,Burnley,,,
2024-04-27,Newcastle,Sheffield United,,,
2024-04-27,Nottingham Forest FC,Man City,,,
2024-04-27,Tottenham,Arsenal,,,
2024-04-27,West Ham,Liverpool,,,
2024-04-27,Wolves,Luton Town FC,,,
2024-05-04,Arsenal,Bournemouth,,,
2024-05-04,Brentford,Fulham,,,
2024-05-04,Brighton,Aston Villa,,,
2024-05-04,Burnley,Newcastle,,,
2024-05-04,Chelsea,West Ham,,,
2024-05-04,Crystal Palace,Man United,,,
2024-05-04,Liverpool,Tottenham,,,
2024-05-04,Luton Town FC,Everton,,,
2024-05-04,Man City,Wolves,,,
2024-05-04,Sheffield United,Nottingham Forest FC,,,
2024-05-11,Bournemouth,Brentford,,,
2024-05-11,Aston Villa,Liverpool,,,
2024-05-11,Everton,Sheffield United,,,
2024-05-11,Fulham,Man City,,,
2024-05-11,Man United,Arsenal,,,
2024-05-11,Newcastle,Brighton,,,
2024-05-11,Nottingham Forest FC,Chelsea,,,
2024-05-11,Tottenham,Burnley,,,
2024-05-11,West Ham,Luton Town FC,,,
2024-05-11,Wolves,Crystal Palace,,,
2024-05-19,Arsenal,Everton,,,
2024-05-19,Brentford,Newcastle,,,
2024-05-19,Brighton,Man United,,,
2024-05-19,Burnley,Nottingham Forest FC,,,
2024-05-19,Chelsea,Bournemouth,,,
2024-05-19,Crystal Palace,Aston Villa,,,
2024-05-19,Liverpool,Wolves,,,
2024-05-19,Luton Town FC,Fulham,,,
2024-05-19,Man City,West Ham,,,
2024-05-19,Sheffield United,Tottenham,,,
